"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Cyanocorax cyanopogon","Cyanocorax cyanopogon",NA,"Aves","Passeriformes","Corvidae","faunabr",NA
"Cyanopsitta spixii","Cyanopsitta spixii",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Cyclopes didactylus","Cyclopes didactylus","Myrmecophaga didactyla","Mammalia","Pilosa","Cyclopedidae","faunabr",NA
"Cymbilaimus lineatus","Cymbilaimus lineatus","Lanius lineatus","Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Cynomops greenhalli","Cynomops greenhalli",NA,"Mammalia","Chiroptera","Molossidae","faunabr",NA
"Cypsnagra hirundinacea","Cypsnagra hirundinacea","Tanagra hirundinacea","Aves","Passeriformes","Thraupidae","faunabr",NA
"Dactylomys dactylinus","Dactylomys dactylinus",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Daptrius ater","Daptrius ater",NA,"Aves","Falconiformes","Falconidae","faunabr",NA
"Dasyprocta iacki","Dasyprocta iacki",NA,"Mammalia","Rodentia","Dasyproctidae","faunabr",NA
"Dasyprocta prymnolopha","Dasyprocta prymnolopha",NA,"Mammalia","Rodentia","Dasyproctidae","faunabr","Dasyprocta nigriclunis"
"Dasypus novemcinctus","Dasypus novemcinctus",NA,"Mammalia","Cingulata","Dasypodidae","faunabr",NA
