"","species","subspecies","scientificName","acceptedName","kingdom","phylum","class","order","family","genus","lifeForm","habitat","states","countryCode","origin","taxonomicStatus","nomenclaturalStatus","vernacularName","taxonRank","id"
"48248","Clyomys laticeps",NA,"Clyomys laticeps (Thomas, 1909)",NA,"Animalia","Chordata","Mammalia","Rodentia","Echimyidae","Clyomys","herbivore;free_living_individual","fossorial;terrestrial","BA;DF;GO;MG;MS;MT;SP","BR;PY","native","accepted",NA,"Rato-de-espinho-do-Cerrado","species",60050
"48489","Psomophis genimaculatus",NA,"Psomophis genimaculatus (Boettger, 1885)",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Psomophis","free_living_individual","freshwater;terrestrial","MS;MT;RO","AR;BO;BR;PY","native","accepted",NA,NA,"species",60347
"48589","Wiedomys pyrrhorhinos",NA,"Wiedomys pyrrhorhinos (Wied-Neuwied, 1821)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Wiedomys","herbivore;free_living_individual","arboreal;terrestrial","AL;BA;MA;MG;PB;PE;SE","BR","native","accepted",NA,"Rato-da-fava, Rato-de-nariz-laranja","species",60466
"48672","Bothrops jararacussu",NA,"Bothrops jararacussu Lacerda, 1884",NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Bothrops","free_living_individual","terrestrial","BA;ES;MG;MS;PR;RJ;RS;SC;SP","AR;BR;PY","native","accepted",NA,NA,"species",60560
"48731","Rhagomys rufescens",NA,"Rhagomys rufescens (Thomas, 1886)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Rhagomys","free_living_individual","arboreal;terrestrial","ES;MG;RJ;SC;SP","BR","native","accepted",NA,"Camundongo-laranja-atlantico","species",60634
"48732","Tantilla marcovani",NA,"Tantilla marcovani Lema, 2004",NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Tantilla","free_living_individual","terrestrial","BA;PB","BR","native","accepted",NA,NA,"species",60636
"48775","Aplastodiscus flumineus",NA,"Aplastodiscus flumineus (Cruz & Peixoto, 1985)",NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Aplastodiscus","free_living_individual","terrestrial","RJ","BR","native","accepted",NA,NA,"species",60694
"48860","Panthera onca",NA,"Panthera onca (Linnaeus, 1758)",NA,"Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","free_living_individual","terrestrial","AC;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PI;PR;RJ;RO;RR;RS;SC;SP;TO","AR;BO;BR;BZ;CO;CR;EC;GF;GT;GY;HN;MX;NI;PA;PE;PY;SR;US;VE","native","accepted",NA,"Onca-pintada, Jaguarete, Cangucu, Onca-verdadeira, Jaguar, Yaguar, Yaguarete, Jaguar","species",60794
"48921","Adenomera diptyx",NA,"Adenomera diptyx (Boettger, 1885)",NA,"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Adenomera","free_living_individual","terrestrial","MS","BR;PY","native","accepted",NA,NA,"species",60869
"49148","Diaemus youngii",NA,"Diaemus youngii (Jentink, 1893)",NA,"Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Diaemus","free_living_individual","terrestrial","AC;AM;AP;BA;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RO;SP;TO","AR;BO;BR;CO;CR;EC;GF;GT;GY;MX;NI;PA;PE;PY;SR;SV;VE","native","accepted",NA,NA,"species",61132
"49198","Tropidophis grapiuna",NA,"Tropidophis grapiuna Curcio, Nunes, Argôlo, Skuk & Rodrigues, 2012",NA,"Animalia","Chordata","Reptilia","Squamata","Tropidophiidae","Tropidophis","free_living_individual","terrestrial","BA","BR","native","accepted",NA,NA,"species",61190
"49430","Micrurus frontalis",NA,"Micrurus frontalis (Duméril, Bibron & Duméril, 1854)",NA,"Animalia","Chordata","Reptilia","Squamata","Elapidae","Micrurus","free_living_individual","terrestrial","DF;ES;GO;MG;MS;MT;SP;TO","BR","native","accepted",NA,"Cobra-coral do Cerrado, Cerrado coralsnake, Brazilian giant coralsnake, Cobra-coral brasileira gigante","species",61467
"49499","Apostolepis nigrolineata",NA,"Apostolepis nigrolineata (Peters, 1869)",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Apostolepis","free_living_individual","fossorial","AM;AP;CE;MA;PA;RO;RR","BR;GF;GY;SR","native","accepted",NA,NA,"species",61554
"49895","Pipa carvalhoi",NA,"Pipa carvalhoi (Miranda-Ribeiro, 1937)",NA,"Animalia","Chordata","Amphibia","Anura","Pipidae","Pipa","predator;free_living_individual","freshwater","AL;BA;CE;ES;MG;PB;PE;RN;SE","BR","native","accepted",NA,NA,"species",62035
"49972","Thrichomys pachyurus",NA,"Thrichomys pachyurus (Wagner, 1845)",NA,"Animalia","Chordata","Mammalia","Rodentia","Echimyidae","Thrichomys","herbivore;free_living_individual","terrestrial","GO;MS;MT","BO;BR;PY","native","accepted",NA,"Rato-boiadeiro, Punare","species",62135
"50415","Akodon sanctipaulensis",NA,"Akodon sanctipaulensis Hershkovitz, 1990",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Akodon","free_living_individual","terrestrial","SP","BR","native","accepted",NA,"Akodon-de-Sao Paulo","species",62693
"50630","Akodon cursor",NA,"Akodon cursor (Winge, 1887)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Akodon","free_living_individual","terrestrial","BA;ES;MG;PB;PE;PR;RJ;SP","BR","native","accepted",NA,"Rato-do-mato, Akodon-do-mato","species",62962
"50714","Amphisbaena roberti",NA,"Amphisbaena roberti Gans, 1964",NA,"Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Amphisbaena","free_living_individual","fossorial","BA;ES;GO;MG;MS;MT;PR;SP;TO","BR","native","accepted",NA,NA,"species",63062
"50753","Cavia intermedia",NA,"Cavia intermedia Cherem, Olimpio & Ximenez, 1999",NA,"Animalia","Chordata","Mammalia","Rodentia","Caviidae","Cavia","herbivore;free_living_individual","terrestrial","SC","BR","native","accepted",NA,"Prea-ilhoa","species",63112
"50868","Speothos venaticus",NA,"Speothos venaticus (Lund, 1842)",NA,"Animalia","Chordata","Mammalia","Carnivora","Canidae","Speothos","free_living_individual","terrestrial","AC;AM;AP;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;RJ;RO;RR;SP;TO","BO;BR;CO;EC;GF;GY;PA;PE;PY;SR;VE","native","accepted",NA,"cachorro-vinagre, cachorro-do-mato-vinagre, Bush Dog, Zorro Pitoco, Zorro Vinagre, Chien Des Buissons","species",63250
"51045","Cerradomys scotti",NA,"Cerradomys scotti (Langguth & Bonvicino, 2002)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Cerradomys","free_living_individual","terrestrial","BA;DF;GO;MA;MG;MS;MT;PI;SP","BO;BR;PY","native","accepted",NA,"Lindbergh's Cerradomys, Rato-do-Cerrado","species",63481
"51070","Amphisbaena darwini",NA,"Amphisbaena darwini Duméril & Bibron, 1839",NA,"Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Amphisbaena","free_living_individual","fossorial","RS;SC","BR;UY","native","accepted",NA,"Cobra-cega, Cobra-de-duas-cabecas","species",63513
"51383","Monodelphis americana",NA,"Monodelphis (Microdelphys) americana (Müller, 1776)",NA,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Monodelphis","free_living_individual","terrestrial","AL;BA;CE;DF;ES;GO;MA;MG;PA;PB;PE;PI;RJ;RN;SE;SP;TO","BR","native","accepted",NA,"catita-de-listras, catita, cuica-de tres-listras, Northern Three-striped Opossum","species",63905
"51399","Bothrops atrox",NA,"Bothrops atrox (Linnaeus, 1758)",NA,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Bothrops","free_living_individual","terrestrial","AC;AM;AP;MA;MT;PA;RO;RR;TO","BO;BR;CO;EC;GF;GY;PE;SR;TT;VE","native","accepted",NA,NA,"species",63926
"51416","Hydrurga leptonyx",NA,"Hydrurga leptonyx (Blainville, 1820)",NA,"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Hydrurga","free_living_individual","marine","RJ;RS;SC","AU;BR;CL;GS;ZA","native","accepted",NA,"Foca-leopardo, Leopard seal","species",63946
"51435","Cerradomys marinhus",NA,"Cerradomys marinhus (Bonvicino, 2003)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Cerradomys","free_living_individual","terrestrial","BA;MG","BR","native","accepted",NA,"Marinho's Cerradomys, Rato-do-Cerrado","species",63966
"51453","Adenomera andreae",NA,"Adenomera andreae (Müller, 1923)",NA,"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Adenomera","free_living_individual","terrestrial","AC;AM;AP;MA;MT;PA;RO;RR;TO","BO;BR;CO;GF;GY;PE;SR;VE","native","accepted",NA,NA,"species",63986
"51729","Aplastodiscus sibilatus",NA,"Aplastodiscus sibilatus (Cruz, Pimenta & Silvano, 2003)",NA,"Animalia","Chordata","Amphibia","Anura","Hylidae","Aplastodiscus","free_living_individual","terrestrial","AL;BA;SE","BR","native","accepted",NA,NA,"species",64327
