"species","class","order","family","source"
"Pygiptila stellaris","Aves","Passeriformes","Thamnophilidae","faunabr"
"Pygochelidon cyanoleuca","Aves","Passeriformes","Hirundinidae","faunabr"
"Pyriglena leuconota","Aves","Passeriformes","Thamnophilidae","faunabr"
"Pyriglena maura","Aves","Passeriformes","Thamnophilidae","faunabr"
"Pyrocephalus rubinus","Aves","Passeriformes","Tyrannidae","faunabr"
"Pyroderus scutatus","Aves","Passeriformes","Cotingidae","faunabr"
"Pyrrhura frontalis","Aves","Psittaciformes","Psittacidae","faunabr"
"Pyrrhura molinae","Aves","Psittaciformes","Psittacidae","faunabr"
"Rallus longirostris","Aves","Gruiformes","Rallidae","faunabr"
"Ramphastos toco","Aves","Piciformes","Ramphastidae","faunabr"
"Ramphastos tucanus","Aves","Piciformes","Ramphastidae","faunabr"
"Ramphastos vitellinus","Aves","Piciformes","Ramphastidae","faunabr"
"Ramphocaenus melanurus","Aves","Passeriformes","Polioptilidae","faunabr"
"Ramphocelus bresilius","Aves","Passeriformes","Thraupidae","faunabr"
"Ramphocelus carbo","Aves","Passeriformes","Thraupidae","faunabr"
"Ramphotrigon megacephalum","Aves","Passeriformes","Tyrannidae","faunabr"
"Rauenia bonariensis","Aves","Passeriformes","Thraupidae","faunabr"
"Rhea americana","Aves","Rheiformes","Rheidae","faunabr"
"Rhinoclemmys punctularia","Reptilia","Testudines","Geoemydidae","faunabr"
"Rhynchocyclus olivaceus","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Rhynchotus rufescens","Aves","Tinamiformes","Tinamidae","faunabr"
"Rhytipterna simplex","Aves","Passeriformes","Tyrannidae","faunabr"
"Rollandia rolland","Aves","Podicipediformes","Podicipedidae","faunabr"
"Rostrhamus sociabilis","Aves","Accipitriformes","Accipitridae","faunabr"
"Rupornis magnirostris","Aves","Accipitriformes","Accipitridae","faunabr"
"Rynchops niger","Aves","Charadriiformes","Rynchopidae","faunabr"
"Saltator aurantiirostris","Aves","Passeriformes","Thraupidae","faunabr"
"Saltator coerulescens","Aves","Passeriformes","Thraupidae","faunabr"
"Saltator grossus","Aves","Passeriformes","Thraupidae","faunabr"
